id,flat_href,img_href,address,price,title,type,surface,price_num
1,https://www.sreality.cz/detail/pronajem/byt/2+1/kromeriz-kromeriz-machova/1091618380,"https://d18-a.sdn.cz/d_18/c_img_gW_m/OjNIsZ.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Máchova, Kroměříž",11 700,Pronájem bytu 2+1 56 m²,2+1,56,11700
2,https://www.sreality.cz/detail/pronajem/byt/3+kk/litomerice-litomerice-mesto-tyrsovo-namesti/3721606732,"https://d18-a.sdn.cz/d_18/c_img_gX_m/vxzZAx.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Tyršovo náměstí, Litoměřice - Litoměřice-Město",13 000,Pronájem bytu 3+kk 75 m²,3+kk,75,13000
3,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-stare-mesto-melantrichova/2212247116,"https://d18-a.sdn.cz/d_18/c_img_QM_KP/xu5Mf0.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Melantrichova, Praha 1 - Staré Město",17 800,Pronájem bytu 2+1 82 m²,2+1,82,17800
4,https://www.sreality.cz/detail/pronajem/byt/3+kk/brno-bohunice-okrouhla/2868172364,"https://d18-a.sdn.cz/d_18/c_img_gU_m/PI1B0M.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Okrouhlá, Brno - Bohunice",20 000,Pronájem bytu 3+kk 74 m²,3+kk,74,20000
5,https://www.sreality.cz/detail/pronajem/byt/2+1/hradec-kralove-hradec-kralove-tomkova/837142092,"https://d18-a.sdn.cz/d_18/c_img_QI_JX/MtVHtJ.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Tomkova, Hradec Králové",12 000,Pronájem bytu 2+1 60 m²,2+1,60,12000
6,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-bohnice-cafourkova/10303052,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jc/itmMS4.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Cafourkova, Praha - Bohnice",18 000,Pronájem bytu 3+kk 54 m²,3+kk,54,18000
7,https://www.sreality.cz/detail/pronajem/byt/3+kk/plana-nad-luznici-strkov-okruzni/1388758604,"https://d18-a.sdn.cz/d_18/c_img_QN_Js/g1ZHc7.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Okružní, Planá nad Lužnicí - Strkov",15 000,Pronájem bytu 3+kk 79 m²,3+kk,79,15000
8,https://www.sreality.cz/detail/pronajem/byt/3+kk/olomouc-olomouc-dobrovskeho/1438800220,"https://d18-a.sdn.cz/d_18/c_img_QR_L2/au6Hv7.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Dobrovského, Olomouc",24 000,Pronájem bytu 3+kk 83 m²,3+kk,83,24000
9,https://www.sreality.cz/detail/pronajem/byt/2+1/pardubice-zelene-predmesti-k-blahobytu/2114365004,"https://d18-a.sdn.cz/d_18/c_img_gW_m/E7xDhI.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","K Blahobytu, Pardubice - Zelené Předměstí",11 000,Pronájem bytu 2+1 89 m²,2+1,89,11000
10,https://www.sreality.cz/detail/pronajem/byt/3+kk/kvasiny-kvasiny-/1111541324,"https://d18-a.sdn.cz/d_18/c_img_gS_n/bkxbjj.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Kvasiny, okres Rychnov nad Kněžnou",12 330,Pronájem bytu 3+kk 80 m²,3+kk,80,12330
11,https://www.sreality.cz/detail/pronajem/byt/2+1/brno-cerna-pole-luzanecka/1270774108,"https://d18-a.sdn.cz/d_18/c_img_gV_p/qh1O1N.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Lužánecká, Brno - Černá Pole",20 900,Pronájem bytu 2+1 79 m²,2+1,79,20900
12,https://www.sreality.cz/detail/pronajem/byt/2+1/moravska-trebova-mesto-cihlarova/1427555916,"https://d18-a.sdn.cz/d_18/c_img_gT_o/SxeLhD.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Cihlářova, Moravská Třebová - Město",10 000,Pronájem bytu 2+1 60 m²,2+1,60,10000
13,https://www.sreality.cz/detail/pronajem/byt/2+1/opava-predmesti-rooseveltova/3344119372,"https://d18-a.sdn.cz/d_18/c_img_QO_Kf/zxSMnZ.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Rooseveltova, Opava - Předměstí",10 000,Pronájem bytu 2+1 72 m²,2+1,72,10000
14,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-malesice-prorektorska/1476539980,"https://d18-a.sdn.cz/d_18/c_img_QN_Js/NBnNe8.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Prorektorská, Praha 10 - Malešice",22 000,Pronájem bytu 3+kk 65 m²,3+kk,65,22000
15,https://www.sreality.cz/detail/pronajem/byt/2+1/cesky-tesin-cesky-tesin-ostravska/4049155660,"https://d18-a.sdn.cz/d_18/c_img_gR_m/1T7PpT.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Ostravská, Český Těšín",10 000,Pronájem bytu 2+1 63 m²,2+1,63,10000
16,https://www.sreality.cz/detail/pronajem/byt/2+1/olomouc-nove-sady-velkomoravska/610715212,"https://d18-a.sdn.cz/d_18/c_img_gR_m/Ma0Kza.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Velkomoravská, Olomouc - Nové Sady",11 000,Pronájem bytu 2+1 58 m²,2+1,58,11000
17,https://www.sreality.cz/detail/pronajem/byt/2+1/bruntal-bruntal-jiraskova/3894396492,"https://d18-a.sdn.cz/d_18/c_img_gT_o/HMSErT.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Jiráskova, Bruntál",10 000,Pronájem bytu 2+1 52 m²,2+1,52,10000
18,https://www.sreality.cz/detail/pronajem/byt/2+1/brno-zabovresky-lucni/4128765516,"https://d18-a.sdn.cz/d_18/c_img_gQ_n/bUTM6y.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Luční, Brno - Žabovřesky",16 900,Pronájem bytu 2+1 77 m²,2+1,77,16900
19,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-vokovice-africka/1620346444,"https://d18-a.sdn.cz/d_18/c_img_gV_o/rZzpZh.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Africká, Praha 6 - Vokovice",18 500,Pronájem bytu 2+1 68 m²,2+1,68,18500
20,https://www.sreality.cz/detail/pronajem/byt/2+1/brno-veveri-cihlarska/3688707660,"https://d18-a.sdn.cz/d_18/c_img_QL_Ju/xvpMIy.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Cihlářská, Brno - Veveří",17 000,Pronájem bytu 2+1 68 m²,2+1,68,17000
21,https://www.sreality.cz/detail/pronajem/byt/3+kk/olomouc-olomouc-dukelska/2946431324,"https://d18-a.sdn.cz/d_18/c_img_QI_JX/VzeHuz.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Dukelská, Olomouc",15 000,Pronájem bytu 3+kk 84 m²,3+kk,84,15000
22,https://www.sreality.cz/detail/pronajem/byt/2+1/brno-kralovo-pole-purkynova/4294587980,"https://d18-a.sdn.cz/d_18/c_img_gV_p/TEzZVl.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Purkyňova, Brno - Královo Pole",11 000,Pronájem bytu 2+1 48 m²,2+1,48,11000
23,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-smichov-plzenska/161166924,"https://d18-a.sdn.cz/d_18/c_img_gS_n/PYKO6w.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Plzeňská, Praha 5 - Smíchov",20 000,Pronájem bytu 2+1 65 m²,2+1,65,20000
24,https://www.sreality.cz/detail/pronajem/byt/2+1/frydek-mistek-frydek-puskinova/1951385164,"https://d18-a.sdn.cz/d_18/c_img_gZ_o/FoqcVv.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Puškinova, Frýdek-Místek - Frýdek",11 500,Pronájem bytu 2+1 46 m²,2+1,46,11500
25,https://www.sreality.cz/detail/pronajem/byt/3+kk/brno-veveri-jiraskova/1986087260,"https://d18-a.sdn.cz/d_18/c_img_gS_m/wH6GIH.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Jiráskova, Brno - Veveří",20 900,Pronájem bytu 3+kk 102 m²,3+kk,10,20900
26,https://www.sreality.cz/detail/pronajem/byt/3+kk/plzen-vychodni-predmesti-guldenerova/3313120844,"https://d18-a.sdn.cz/d_18/c_img_gV_p/ckQPA8.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Guldenerova, Plzeň - Východní Předměstí",15 000,Pronájem bytu 3+kk 90 m² (Mezonet),3+kk,90,15000
27,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-branik-vrbova/1836246604,"https://d18-a.sdn.cz/d_18/c_img_QQ_LR/g9JoTS.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Vrbova, Praha 4 - Braník",14 000,Pronájem bytu 2+1 47 m²,2+1,47,14000
28,https://www.sreality.cz/detail/pronajem/byt/2+1/opava-predmesti-namesti-republiky/2488714828,"https://d18-a.sdn.cz/d_18/c_img_QQ_LS/VlLG1T.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","náměstí Republiky, Opava - Předměstí",10 000,Pronájem bytu 2+1 54 m²,2+1,54,10000
29,https://www.sreality.cz/detail/pronajem/byt/2+1/vsetin-vsetin-stepanska/2961622604,"https://d18-a.sdn.cz/d_18/c_img_gY_n/mT5MTT.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Štěpánská, Vsetín",12 000,Pronájem bytu 2+1 52 m²,2+1,52,12000
30,https://www.sreality.cz/detail/pronajem/byt/3+kk/milovice-mlada-armadni/3195848268,"https://d18-a.sdn.cz/d_18/c_img_QP_Ko/7hNGs8.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Armádní, Milovice - Mladá",18 000,Pronájem bytu 3+kk 70 m²,3+kk,70,18000
31,https://www.sreality.cz/detail/pronajem/byt/3+kk/ostrava-radvanice-tesinska/1167296076,"https://d18-a.sdn.cz/d_18/c_img_QP_Ko/QJ4F0O.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90","Těšínská, Ostrava - Radvanice",11 000,Pronájem bytu 3+kk 88 m²,3+kk,88,11000
